time,lat,lon,alt,track,speed,climb,eps,epx,epv,ept,mode,sat
"",0,0,,,,,,,,,1,0
2016-02-28T13:31:05.000Z,47.373825,-122.193723333,128.9,196.36,0.087,0,6.41,3.204,4.428,0.005,3,0
2016-02-28T13:31:07.000Z,47.373825,-122.193723333,128.9,260,0.051,0,6.41,3.204,4.428,0.005,3,0
2016-02-28T13:33:14.000Z,47.37387,-122.193738333,128.5,302.18,0.072,0,6.41,3.204,6.957,0.005,3,13
2016-02-28T13:33:15.000Z,47.37387,-122.193738333,128.5,322.73,0.057,0,6.41,3.204,4.428,0.005,3,13
2016-02-28T13:33:17.000Z,47.37387,-122.19374,128.5,316.71,0.123,0,6.41,3.204,4.428,0.005,3,13
2016-02-28T13:33:18.000Z,47.373871667,-122.19374,128.5,31.9,0.057,0,6.41,3.204,6.957,0.005,3,13
2016-02-28T13:33:19.000Z,47.373871667,-122.19374,128.5,24.56,0.062,0,6.41,3.204,4.428,0.005,3,13
2016-02-28T13:33:20.000Z,47.373871667,-122.19374,128.5,27.47,0.139,0,6.41,3.204,4.428,0.005,3,13
2016-02-28T13:33:21.000Z,47.373873333,-122.193738333,128.5,25.25,0.159,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:22.000Z,47.373875,-122.193738333,128.5,44.48,0.139,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:24.000Z,47.373876667,-122.193736667,128.5,359.49,0.19,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:25.000Z,47.373878333,-122.193736667,128.5,1.94,0.067,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:26.000Z,47.37388,-122.193736667,128.5,9.71,0.123,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:27.000Z,47.37388,-122.193735,128.5,8.42,0.082,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:28.000Z,47.373881667,-122.193735,128.5,346.73,0.118,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:29.000Z,47.373881667,-122.193736667,128.5,33.27,0.067,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:30.000Z,47.373883333,-122.193735,128.5,351.13,0.113,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:31.000Z,47.373883333,-122.193735,128.5,332.86,0.057,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:32.000Z,47.373883333,-122.193735,128.5,326.85,0.108,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:33.000Z,47.373885,-122.193736667,128.5,337.6,0.129,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:34.000Z,47.373886667,-122.193736667,128.5,342.35,0.123,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:36.000Z,47.373888333,-122.193738333,128.5,344.66,0.195,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:37.000Z,47.37389,-122.19374,128.5,358.84,0.226,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:38.000Z,47.373891667,-122.19374,128.5,330.87,0.18,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:39.000Z,47.373893333,-122.19374,128.5,332.38,0.129,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:40.000Z,47.373893333,-122.193741667,128.5,334.14,0.144,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:41.000Z,47.373895,-122.193741667,128.5,295.51,0.093,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:42.000Z,47.373895,-122.193743333,128.4,356.63,0.021,-0.1,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:44.000Z,47.373895,-122.193741667,128.4,50.95,0.123,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:45.000Z,47.373896667,-122.193741667,128.4,42.51,0.067,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:46.000Z,47.373896667,-122.19374,128.4,7.28,0.062,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:47.000Z,47.373896667,-122.19374,128.4,26.7,0.051,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:48.000Z,47.373898333,-122.19374,128.4,300.54,0.057,0,6.41,3.204,5.98,0.005,3,13
2016-02-28T13:33:49.000Z,47.373898333,-122.19374,128.4,305.45,0.118,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:50.000Z,47.373898333,-122.193741667,128.4,334.89,0.087,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:51.000Z,47.3739,-122.193741667,128.4,306.22,0.051,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:52.000Z,47.3739,-122.193743333,128.4,77.24,0.015,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:53.000Z,47.3739,-122.193743333,128.4,56.13,0.046,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:55.000Z,47.3739,-122.193741667,128.4,102.6,0.087,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:56.000Z,47.3739,-122.19374,128.4,127.78,0.077,0,6.41,3.204,4.428,0.005,3,13
2016-02-28T13:33:57.000Z,47.373898333,-122.19374,128.4,152.24,0.139,0,6.41,3.204,4.428,0.005,3,13
2016-02-28T13:33:58.000Z,47.373896667,-122.193738333,128.4,153.64,0.113,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:33:59.000Z,47.373896667,-122.193738333,128.4,156.41,0.108,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:34:00.000Z,47.373895,-122.193736667,128.4,164.23,0.046,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:34:01.000Z,47.373895,-122.193736667,128.4,76.05,0.026,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:34:02.000Z,47.373895,-122.193736667,128.4,83.8,0.077,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:34:03.000Z,47.373895,-122.193735,128.4,195.03,0.067,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:34:04.000Z,47.373895,-122.193735,128.4,189.8,0.062,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:34:05.000Z,47.373893333,-122.193736667,128.4,172.74,0.082,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:34:06.000Z,47.373893333,-122.193735,128.4,162.91,0.077,0,6.41,3.204,4.14,0.005,3,13
2016-02-28T13:34:08.000Z,47.373891667,-122.193736667,128.4,164.3,0.087,0,6.41,3.204,4.14,0.005,3,13
